Date,ACWI,AGG,EWW,IPCLARGECAP.MX,IVV,QQQ,SHY,SPY,TIP
2019-11-08,69.86878967285156,96.456787109375,38.99607467651367,,284.6705322265625,194.4463806152344,75.76966094970703,284.1695861816406,96.13957214355467
2019-11-11,69.70581817626953,96.4739990234375,38.961421966552734,,284.2032165527344,194.1854705810547,75.78760528564453,283.6269836425781,96.18951416015624
2019-11-12,69.66056060791016,96.5775375366211,38.10389709472656,,284.6888122558594,194.7459259033203,75.79655456542969,284.2248229980469,96.17286682128906
2019-11-13,69.59716796875,96.7500457763672,37.92198944091797,,284.8446350097656,194.79421997070312,75.83235168457031,284.3168334960937,96.2560806274414
2019-11-14,69.60623168945312,97.02613830566406,38.18185424804688,,285.2477722167969,194.63961791992188,75.90401458740234,284.7306823730469,96.4806900024414
2019-11-15,70.0679931640625,96.9743881225586,38.71889114379883,,287.3644714355469,196.0697479248047,75.87712860107422,286.7911376953125,96.36420440673828
2019-11-18,70.13136291503906,97.1555633544922,38.41571807861328,,287.4927062988281,196.22434997558597,75.91297912597656,287.002685546875,96.55557250976562
2019-11-19,70.04987335205078,97.22454833984376,38.42438125610352,,287.4286193847656,196.5142059326172,75.90401458740234,286.9199523925781,96.7302703857422
2019-11-20,69.7510986328125,97.45746612548828,38.27712631225586,,286.3656311035156,195.3353271484375,75.93987274169922,285.8529357910156,97.10465240478516
2019-11-21,69.72393798828125,97.31944274902344,38.23381805419922,,285.95330810546875,194.90049743652344,75.90401458740234,285.3930969238281,96.88835906982422
2019-11-22,69.78731536865234,97.37120819091795,38.51966857910156,,286.5672607421875,195.0261383056641,75.89505004882812,286.02764892578125,96.92161560058594
2019-11-25,70.32148742675781,97.4661102294922,38.46768951416016,,288.729736328125,197.3355865478516,75.90401458740234,288.2445068359375,97.0297622680664
2019-11-26,70.37582397460938,97.60413360595705,37.878684997558594,,289.3070983886719,197.71241760253903,75.93987274169922,288.89752197265625,97.23775482177734
2019-11-27,70.63836669921875,97.48338317871094,37.91332626342773,,290.69976806640625,199.0941619873047,75.89505004882812,290.1852722167969,97.04641723632812
2019-11-29,70.20378875732422,97.3625946044922,37.69677734375,,289.6094055175781,198.18588256835935,75.92193603515625,289.10906982421875,96.8217544555664
2019-12-02,69.7510986328125,97.25537872314452,37.33297348022461,,287.1811828613281,196.15670776367188,75.89859771728516,286.6531066894531,96.6835708618164
2019-12-03,69.39798736572266,97.69632720947266,37.0904426574707,,285.20196533203125,194.6202850341797,76.00625610351562,284.7306823730469,97.28309631347656
2019-12-04,69.87784576416016,97.53203582763672,37.3069953918457,,286.97039794921875,195.6059112548828,75.97037506103516,286.48760986328125,97.21646118164062
2019-12-05,69.9502944946289,97.4196319580078,37.428260803222656,,287.5752868652344,195.99241638183597,75.93447875976562,287.002685546875,97.07492065429688
2019-12-06,70.50257110595703,97.28131103515624,37.24635314941406,,290.1409606933594,198.08924865722656,75.9076156616211,289.62420654296875,97.00830078125
2019-12-09,70.27622985839844,97.3332061767578,37.35029983520508,,289.279541015625,197.1906280517578,75.9076156616211,288.71356201171875,97.03327178955078
2019-12-10,70.23094940185547,97.29864501953124,37.98262023925781,,288.9771728515625,197.02630615234372,75.87168884277344,288.3915405273437,97.00830078125
2019-12-11,70.56594848632812,97.5579605102539,38.64958572387695,,289.7102966308594,198.0699462890625,75.93447875976562,289.2102355957031,97.34969329833984
2019-12-12,71.19065856933594,97.14299774169922,39.108680725097656,,292.27587890625,199.54835510253903,75.86271667480469,291.7030639648437,96.87506866455078
2019-12-13,71.41699981689453,97.53203582763672,39.62838745117188,,292.3766174316406,200.20542907714844,75.95242309570312,291.8777770996094,97.26643371582033
2019-12-16,71.94207000732422,97.3332061767578,39.94670486450195,,294.4783630371094,202.2153167724609,75.9076156616211,293.8829650878906,97.0416030883789
2019-12-17,71.93289947509766,97.3418197631836,39.97294616699219,,294.5060729980469,202.33123779296875,75.92549896240234,293.9473571777344,97.1748275756836
2019-12-18,71.97872924804688,97.151611328125,40.49763488769531,,294.5245361328125,202.48587036132807,75.93447875976562,293.9657287597656,97.06658172607422
2019-12-19,72.1436538696289,97.25640869140624,40.27901077270508,,295.7879333496094,203.751708984375,75.94975280761719,295.170654296875,97.22412872314452
